Date,Amount,Type,Merchant,Category,Method
"2026/04/10, 20:16:27",$32.74,TRANSACTION,ADIDAS US ONLINE STORE,Sports and Riding Apparel Stores,Online
"2026/04/10, 19:59:33",$109.08,TRANSACTION,AMAZON.COM*B77IH4EK1,Book Stores,KeyedIn
"2026/04/10, 19:56:48",$33.69,TRANSACTION,GAPOUTLET.COM,Family Clothing Stores,Online
"2026/04/10, 19:54:38",$32.91,TRANSACTION,SAMSCLUB.COM#6279 6279,Wholesale Clubs,Online
"2026/04/10, 19:25:18",$376.63,TRANSACTION,SEPHORA.COM,Cosmetic Stores,KeyedIn
"2026/04/10, 18:35:20",$160.06,TRANSACTION,SEPHORA.COM,Cosmetic Stores,KeyedIn
"2026/04/10, 17:53:14",$409.14,TRANSACTION,SEPHORA.COM,Cosmetic Stores,KeyedIn
"2026/04/10, 16:39:42",$74.47,TRANSACTION,SEPHORA.COM,Cosmetic Stores,KeyedIn
"2026/04/10, 16:24:45",$248.24,TRANSACTION,SEPHORA.COM,Cosmetic Stores,KeyedIn
"2026/04/10, 14:39:47",$125.82,TRANSACTION,SEPHORA.COM,Cosmetic Stores,KeyedIn
"2026/04/10, 12:51:24",$290.18,TRANSACTION,SEPHORA.COM,Cosmetic Stores,KeyedIn
"2026/04/10, 11:53:20",$526.43,TRANSACTION,SEPHORA.COM,Cosmetic Stores,KeyedIn
"2026/04/10, 00:43:59",$466.52,TRANSACTION,SEPHORA.COM,Cosmetic Stores,KeyedIn
"2026/04/10, 00:39:25",$372.35,TRANSACTION,SEPHORA.COM,Cosmetic Stores,KeyedIn
"2026/04/10, 00:21:37",$32.53,TRANSACTION,SEPHORA.COM,Cosmetic Stores,KeyedIn
"2026/04/10, 00:21:37","$2,174.44",TRANSACTION,SEPHORA.COM,Cosmetic Stores,KeyedIn
"2026/04/09, 16:49:49",$48.50,TRANSACTION,AMAZON MKTPL*B77VY5EH1,Book Stores,KeyedIn
"2026/04/09, 02:40:40",$50.71,TRANSACTION,AMAZON MKTPL*BY88C6ZD2,Book Stores,KeyedIn
"2026/04/09, 00:43:24",$340.80,TRANSACTION,UNIQLO USA LLC,Family Clothing Stores,Online
"2026/04/09, 00:32:20",$44.94,TRANSACTION,ADIDAS US ONLINE STORE,Sports and Riding Apparel Stores,Online
"2026/04/08, 07:29:53",$141.71,TRANSACTION,"SHEIN US SERVICES, LLC._",Family Clothing Stores,KeyedIn
